,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Fuyang,CN,32.9,115.8167,43.3,64,89,9.24,overcast clouds
321,Arcachon,FR,44.5875,-1.0519,28.45,100,100,3.44,overcast clouds
322,Riyadh,SA,24.6877,46.7219,57.34,77,5,3.18,clear sky
323,Caravelas,BR,-17.7125,-39.2481,74.34,88,0,2.68,clear sky
324,Kichera,RU,55.9375,110.0997,-8.03,88,64,4.81,broken clouds
325,Yenagoa,NG,4.9247,6.2642,76.51,93,6,2.89,clear sky
326,Kavaratti,IN,10.5669,72.642,79.79,68,100,9.75,overcast clouds
327,Araouane,ML,18.9048,-3.5265,54.12,25,3,11.27,clear sky
328,Madinat Sittah Uktubar,EG,29.8167,31.05,53.2,58,34,9.48,scattered clouds
329,Manadhoo,MV,5.7667,73.3833,81.95,73,98,13.91,overcast clouds
330,Oruro,BO,-17.9833,-67.15,51.13,61,43,7.23,scattered clouds
331,Ures,MX,29.4333,-110.4,72.09,27,100,7.05,overcast clouds
332,Yerbogachen,RU,61.2767,108.0108,-16.44,97,100,2.44,overcast clouds
333,Saldanha,ZA,-33.0117,17.9442,68.05,91,0,5.32,clear sky
334,Zeya,RU,53.75,127.2667,-3.64,66,97,3.91,overcast clouds
335,Bairiki,KI,1.3292,172.9752,86.0,74,75,8.05,broken clouds
336,Arman,RU,59.7,150.1667,1.63,78,0,7.67,clear sky
337,Kendal,GB,54.3268,-2.7476,43.45,89,100,4.0,overcast clouds
338,Praia,CV,14.9215,-23.5087,68.54,73,75,6.91,broken clouds
339,Lokosovo,RU,61.1333,74.8167,10.26,96,100,8.84,overcast clouds
340,Hervey Bay,AU,-25.2986,152.8535,86.11,68,6,8.7,clear sky
341,Harrisburg,US,40.2737,-76.8844,16.81,53,75,1.01,broken clouds
342,Coquimbo,CL,-29.9533,-71.3436,64.13,88,40,5.75,scattered clouds
343,Coihaique,CL,-45.5752,-72.0662,40.95,81,40,6.91,scattered clouds
